field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
에덴실버타운,"요양원,요양센터",대전 유성구 테크노중앙로 155,용산동 575,34028,정,대전광역시 유성구 용산동 575,127.40079045136626,36.42271022170052
도울실버타운,"요양원,요양센터",전남 나주시 남평읍 남평2로 47,남평리 41,,정,경상남도 통영시 산양읍 남평리 41,128.4050972778944,34.81184782408289
효성실버타운,"요양원,요양센터",대구 북구 도남길 92-52,도남동 624-5,41408,정,대구광역시 북구 도남동 624-5,128.5854171773394,35.96039973126217
SK실버타운,"요양원,요양센터",경기 시흥시 배곧4로 32-19,배곧동 128,15010,정,경기도 시흥시 배곧동 128,126.7262357721213,37.37729772663474
에이플러스백정애건강실버타운,"요양원,요양센터",울산 중구 백양로 208,성안동 407-3,44418,정,울산광역시 중구 성안동 407-3,129.32426919230377,35.58048925823349
세종실버타운 평강요양원,"요양원,요양센터",세종 전동면 솔티로 361-15 세종실버타운,송성리 675-2 세종실버타운,30009,정,세종특별자치시 전동면 송성리 675-2,127.21614134474532,36.62934897054422
명암실버타운,"요양원,요양센터",충북 제천시 봉양읍 명암로1길 37,봉양리 406-2,27109,정,전북특별자치도 정읍시 입암면 봉양리 406-2,126.75971679558268,35.515718271444335
도심형 실버타운,"요양원,요양센터",서울 중구 세종대로18길 8,태평로2가 53,04526,정,서울특별시 중구 태평로2가 53,126.97750978123722,37.56370581787757
양평실버타운 요양원,"요양원,요양센터",경기 양평군 용문면 용문산로 107,덕촌리 15-1,12511,정,충청북도 청주시 흥덕구 옥산면 덕촌리 15-1,127.36481033568501,36.66166708699869
에벤에셀실버타운요양원,"요양원,요양센터","경북 경산시 강변동로 264 에벤에셀빌 3층, 4층, 5층","중방동 232-3 에벤에셀빌 3층, 4층, 5층",38611,정,경상북도 경산시 중방동 232-3,128.73376547566653,35.83321761461749
행복한실버타운요양원,"요양원,요양센터",충남 논산시 부적면 계백로 1493,마구평리 9-9,32914,정,충청남도 논산시 부적면 마구평리 9-9,127.13908356730958,36.21398728473575
장성누리타운관리사무소,관리사무소,전남 장성군 장성읍 청운11길 11,영천리 1475-5,,정,전라남도 장성군 장성읍 영천리 1475-5,126.78231175802148,35.304128734113554
